ScorerID,Path,Color - HEX,Color - SAMPLE
2,Further Education - Clinical,#f58231,
3,Further Education - Research,#ffd8b1,
4,"Science Writing, Communication, Education",#bfef45,
5,Lab / Hospital / Academic Administrative Role,#4363d8,
6,"Science Writing, Communication, Education",#bfef45,
8,Bioinformatics - Clinical / Research,#e6194B,
9,Bioinformatics - Clinical / Research,#e6194B,
10,Variant Analysis - Diagnostic,#3cb44b,
11,"Science Writing, Communication, Education",#bfef45,
12,"Science Writing, Communication, Education",#bfef45,
13,Variant Analysis - Diagnostic,#3cb44b,
14,Sales & Marketing,#469990,
15,Variant Analysis - Research,#014421,
16,Bioinformatics - Clinical / Research,#e6194B,
17,Variant Analysis - Research,#014421,
18,Bioinformatics - Clinical / Research,#e6194B,
19,Further Education - Research,#ffd8b1,
21,Policy,#ffe119,
22,Variant Analysis - Diagnostic,#3cb44b,
23,Wet Lab Work - Academic,#000075,
24,"Science Writing, Communication, Education",#bfef45,
26,Variant Analysis - Diagnostic,#3cb44b,
27,Bioinformatics - Industry,#990F02,
28,Bioinformatics - Industry,#990F02,
29,Further Education - Research,#ffd8b1,
30,Policy,#ffe119,
31,Variant Analysis - Diagnostic,#3cb44b,
32,Further Education - Research,#ffd8b1,
33,Variant Analysis - Research,#014421,
34,Wet Lab Work - Academic,#000075,
35,Consulting,#911eb4,
36,Policy,#ffe119,
37,Bioinformatics - Clinical / Research,#e6194B,
38,Further Education - Research,#ffd8b1,
39,Business of Science / Medicine,#fabed4,
40,Consulting,#911eb4,
41,Sales & Marketing,#469990,
42,Sales & Marketing,#469990,
43,Variant Analysis - Diagnostic,#3cb44b,
44,Sales & Marketing,#469990,
45,Sales & Marketing,#469990,
46,Sales & Marketing,#469990,
47,Lab / Hospital / Academic Administrative Role,#4363d8,
48,Lab / Hospital / Academic Administrative Role,#4363d8,
49,Bioinformatics - Industry,#990F02,
50,Variant Analysis - Diagnostic,#3cb44b,
51,Further Education - Clinical,#f58231,
52,Wet Lab Work - Industry,#222B35,
53,Lab / Hospital / Academic Administrative Role,#4363d8,
54,Business of Science / Medicine,#fabed4,
55,Wet Lab Work - Academic,#000075,
56,Business of Science / Medicine,#fabed4,
58,Further Education - Research,#ffd8b1,
59,Consulting,#911eb4,
60,Further Education - Research,#ffd8b1,
61,"Science Writing, Communication, Education",#bfef45,
62,Consulting,#911eb4,
63,Further Education - Clinical,#f58231,
64,Further Education - Clinical,#f58231,
65,Further Education - Clinical,#f58231,
67,Further Education - Research,#ffd8b1,
69,Business of Science / Medicine,#fabed4,
70,Further Education - Clinical,#f58231,
72,Lab / Hospital / Academic Administrative Role,#4363d8,
73,Business of Science / Medicine,#fabed4,
74,Wet Lab Work - Academic,#000075,
75,Sales & Marketing,#469990,
77,Consulting,#911eb4,
78,Further Education - Clinical,#f58231,
79,Policy,#ffe119,
81,Wet Lab Work - Academic,#000075,
82,Business of Science / Medicine,#fabed4,
83,Business of Science / Medicine,#fabed4,
84,Wet Lab Work - Academic,#000075,
85,Bioinformatics - Industry,#990F02,
86,Wet Lab Work - Industry,#222B35,
87,Wet Lab Work - Industry,#222B35,
88,Variant Analysis - Diagnostic,#3cb44b,
89,Wet Lab Work - Industry,#222B35,
90,Variant Analysis - Research,#014421,
91,Wet Lab Work - Academic,#000075,
92,Wet Lab Work - Industry,#222B35,
93,Wet Lab Work - Industry,#222B35,
94,Bioinformatics - Clinical / Research,#e6194B,
95,Wet Lab Work - Industry,#222B35,
96,Bioinformatics - Clinical / Research,#e6194B,
97,"Science Writing, Communication, Education",#bfef45,
99,Wet Lab Work - Industry,#222B35,
100,Wet Lab Work - Industry,#222B35,
101,Policy,#ffe119,
102,Policy,#ffe119,
105,Business of Science / Medicine,#fabed4,
106,Bioinformatics - Industry,#990F02,
107,Variant Analysis - Research,#014421,
109,Lab / Hospital / Academic Administrative Role,#4363d8,
111,Business of Science / Medicine,#fabed4,
114,Bioinformatics - Industry,#990F02,
116,Consulting,#911eb4,
117,Variant Analysis - Research,#014421,
